effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),31.586730670756253,0.46049363172539204,68.59319759191044,24.226347355817577,2.891115797285479e-29
fixed,NA,X_i,-0.00486739938151163,0.04726916912839599,-0.10297196822500608,44971.99999971447,0.9179856779081448
fixed,NA,Y_i,-0.19078561231846788,0.12204846988222634,-1.5631954460598412,44971.999999732805,0.11801366722417414
fixed,NA,X_i:Y_i,-0.04799585633304925,0.1494782375494475,-0.3210892576731927,44971.99999951547,0.7481442428595337
ran_pars,subj_id,sd__(Intercept),2.2943670257826945,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,4.7269169128396,NA,NA,NA,NA
fixed,NA,(Intercept),31.920678476795278,0.5427523447718628,58.81260354612124,24.1665567106806,1.3257532291289439e-27
fixed,NA,X_i,0.4001214250224162,0.04783505078568017,8.364607509566937,44972.000004354864,6.202541820106226e-17
fixed,NA,Y_i,0.24507676906168477,0.12350957003861707,1.9842735181173243,44972.0000065873,0.04723142480423684
fixed,NA,X_i:Y_i,0.6884748209558609,0.15126771247257648,4.551366644621372,44972.0000063569,5.343791760528217e-6
ran_pars,subj_id,sd__(Intercept),2.7067260961089676,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,4.783505078568023,NA,NA,NA,NA
fixed,NA,(Intercept),31.83996461729026,0.3944496890096842,80.7199637987509,24.29733300350934,4.829920970618219e-31
fixed,NA,X_i,1.1685900767793984,0.04635218478169887,25.21111102492822,44971.999998077976,2.8192499743625074e-139
fixed,NA,Y_i,1.4295295415653158,0.11968082647989921,11.944515956408523,44972.00000504792,7.776587805421736e-33
fixed,NA,X_i:Y_i,0.914635314244056,0.14657847843516322,6.239901819206229,44972.00000506566,4.41738169350021e-10
ran_pars,subj_id,sd__(Intercept),1.9631493010912942,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,4.635218478169891,NA,NA,NA,NA
fixed,NA,(Intercept),31.87608172219162,0.3347245777145965,95.23077731498647,24.42433735410947,6.424816077305402e-33
fixed,NA,X_i,0.528665002081735,0.04689962685271497,11.272264569225056,44972.000012673,1.9701789517487017e-29
fixed,NA,Y_i,0.16680741826818374,0.12109431582927173,1.3774999852458965,44972.0000074459,0.16836457444157688
fixed,NA,X_i:Y_i,0.8795311022579569,0.14830964226657384,5.930370330723847,44972.00000759935,3.0445410227161984e-9
ran_pars,subj_id,sd__(Intercept),1.662634653161841,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,4.689962685271504,NA,NA,NA,NA
fixed,NA,(Intercept),31.376389839499982,0.391076343205647,80.23085616048309,24.292599104767604,5.657174620916793e-31
fixed,NA,X_i,0.667409977957428,0.04559953699219614,14.6363323397702,44972.00002185707,2.129170109521619e-48
fixed,NA,Y_i,0.3670349826663636,0.11773749824369643,3.1174008972626894,44972.000019533974,0.00182568265374179
fixed,NA,X_i:Y_i,1.2927933619593972,0.1441983971444434,8.965379557335906,44972.0000198775,3.2079219053913476e-19
ran_pars,subj_id,sd__(Intercept),1.946500028027553,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,4.559953699219611,NA,NA,NA,NA
fixed,NA,(Intercept),31.11564175673838,0.33065605896614964,94.10274184609389,24.45641274449591,7.934757665305268e-33
fixed,NA,X_i,0.5168063846285789,0.04802606567694208,10.760956104649317,44972.00000865192,5.675914865064596e-27
fixed,NA,Y_i,0.7930680289821395,0.12400276836710677,6.395567126649007,44972.00000506876,1.6151890007792575e-10
fixed,NA,X_i:Y_i,0.30883897126032034,0.15187175459597316,2.0335510844786744,44972.000005021124,0.04200273657426839
ran_pars,subj_id,sd__(Intercept),1.6416132360801128,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,4.802606567694203,NA,NA,NA,NA
fixed,NA,(Intercept),31.12082423852811,0.3818304689710549,81.5042977643758,24.309768952839583,3.7126527176284767e-31
fixed,NA,X_i,-0.08699427516204508,0.04579034975730243,-1.8998386258923834,44972.00000534592,0.05746069072220206
fixed,NA,Y_i,-0.4479659010028873,0.11823017468469676,-3.7889303825994447,44972.000001362685,1.51494344112976e-4
fixed,NA,X_i:Y_i,0.41732806489339214,0.14480180008881402,2.8820640671415996,44972.00000172157,0.00395266368381603
ran_pars,subj_id,sd__(Intercept),1.8999780894273768,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,4.5790349757302415,NA,NA,NA,NA
fixed,NA,(Intercept),32.03637342359089,0.5104774775074293,62.757662845418366,24.18419926254981,2.688051978465184e-28
fixed,NA,X_i,0.3963184425715001,0.047293028522913644,8.38006054908246,44972.00001043783,5.44114171405182e-17
fixed,NA,Y_i,0.33318640703516034,0.12211007457397137,2.728574265453617,44972.00001013387,0.006363347316500106
fixed,NA,X_i:Y_i,0.5113645577653312,0.14955368757971588,3.4192708052936576,44972.000010134885,6.284488900128634e-4
ran_pars,subj_id,sd__(Intercept),2.54507449799356,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,4.729302852291367,NA,NA,NA,NA
fixed,NA,(Intercept),32.130514568628364,0.4433716305583016,72.46858471339053,24.239936059574358,7.454977874804143e-30
fixed,NA,X_i,0.331589499402083,0.04684371384164562,7.078633870128565,44972.00000133752,1.4770858821524619e-12
fixed,NA,Y_i,0.1829447235791727,0.12094994905546645,1.512565528202712,44971.9999984497,0.1303970828171644
fixed,NA,X_i:Y_i,0.7148202816544417,0.14813282980075648,4.825535856000985,44971.99999863719,1.400843784126028e-6
ran_pars,subj_id,sd__(Intercept),2.2085940877132066,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,4.684371384164569,NA,NA,NA,NA
fixed,NA,(Intercept),31.31862110721564,0.4171549568653041,75.07670852711014,24.268413493650417,2.9785843324674183e-30
fixed,NA,X_i,0.7562139201612922,0.046596002318866146,16.229158780325463,44972.000019215906,4.620098176133243e-59
fixed,NA,Y_i,0.6759399580555632,0.12031036065387397,5.618302151052508,44972.00001841804,1.939808177973985e-8
fixed,NA,X_i:Y_i,0.6412577414110048,0.14734949718610454,4.351950659194221,44972.0000180368,1.3522882576404728e-5
ran_pars,subj_id,sd__(Intercept),2.077082086431126,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,4.6596002318866185,NA,NA,NA,NA
fixed,NA,(Intercept),31.637829976793924,0.3686758395716667,85.81476348857372,24.351671341121516,9.640590113867129e-32
fixed,NA,X_i,0.4424481748657707,0.04707473210877906,9.398846367163024,44971.99999627647,5.766329867537955e-21
fixed,NA,Y_i,0.7746996942094702,0.12154643565631777,6.373693231120288,44971.99999835563,1.8631239797782213e-10
